2018-08-07 15:40:38,285 INFO  (AbstractApplicationContext.java:590) - Refreshing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:40:38 CST 2018]; root of context hierarchy
2018-08-07 15:40:38,317 INFO  (XmlBeanDefinitionReader.java:316) - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-08-07 15:40:38,809 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_admin_info/login],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_Admin_InfoController.login(javax.servlet.http.HttpSession,com.hang.bean.Tb_Admin_Info)
2018-08-07 15:40:38,811 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_item/findAll],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_ItemController.findAll()
2018-08-07 15:40:39,040 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:40:38 CST 2018]; root of context hierarchy
2018-08-07 15:40:39,116 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:40:38 CST 2018]; root of context hierarchy
2018-08-07 15:40:39,695 INFO  (AbstractUrlHandlerMapping.java:373) - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-08-07 15:40:39,751 INFO  (FrameworkServlet.java:509) - FrameworkServlet 'SpringServlet': initialization completed in 1478 ms
2018-08-07 15:57:44,209 INFO  (AbstractApplicationContext.java:993) - Closing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:40:38 CST 2018]; root of context hierarchy
2018-08-07 15:57:51,913 INFO  (FrameworkServlet.java:494) - FrameworkServlet 'SpringServlet': initialization started
2018-08-07 15:57:51,931 INFO  (AbstractApplicationContext.java:590) - Refreshing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:57:51 CST 2018]; root of context hierarchy
2018-08-07 15:57:51,953 INFO  (XmlBeanDefinitionReader.java:316) - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-08-07 15:57:52,621 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_admin_info/login],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_Admin_InfoController.login(javax.servlet.http.HttpSession,com.hang.bean.Tb_Admin_Info)
2018-08-07 15:57:52,623 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_item/findAll],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_ItemController.findAll()
2018-08-07 15:57:52,853 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:57:51 CST 2018]; root of context hierarchy
2018-08-07 15:57:52,906 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:57:51 CST 2018]; root of context hierarchy
2018-08-07 15:57:53,620 INFO  (AbstractUrlHandlerMapping.java:373) - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-08-07 15:57:53,706 INFO  (FrameworkServlet.java:509) - FrameworkServlet 'SpringServlet': initialization completed in 1785 ms
2018-08-07 15:58:02,711 DEBUG (BaseJdbcLogger.java:159) - ==>  Preparing: select * from tb_admin_info where admin_code = ? and password = ? 
2018-08-07 15:58:02,777 DEBUG (BaseJdbcLogger.java:159) - ==> Parameters: 1(String), e10adc3949ba59abbe56e057f20f883e(String)
2018-08-07 15:58:02,819 DEBUG (BaseJdbcLogger.java:159) - <==      Total: 1
2018-08-07 15:58:37,441 INFO  (AbstractApplicationContext.java:993) - Closing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:57:51 CST 2018]; root of context hierarchy
2018-08-07 15:58:53,470 INFO  (FrameworkServlet.java:494) - FrameworkServlet 'SpringServlet': initialization started
2018-08-07 15:58:53,486 INFO  (AbstractApplicationContext.java:590) - Refreshing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:58:53 CST 2018]; root of context hierarchy
2018-08-07 15:58:53,515 INFO  (XmlBeanDefinitionReader.java:316) - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-08-07 15:58:54,102 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_admin_info/login],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_Admin_InfoController.login(javax.servlet.http.HttpSession,com.hang.bean.Tb_Admin_Info)
2018-08-07 15:58:54,104 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_item/findAll],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_ItemController.findAll()
2018-08-07 15:58:54,293 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:58:53 CST 2018]; root of context hierarchy
2018-08-07 15:58:54,328 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:58:53 CST 2018]; root of context hierarchy
2018-08-07 15:58:54,823 INFO  (AbstractUrlHandlerMapping.java:373) - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-08-07 15:58:54,882 INFO  (FrameworkServlet.java:509) - FrameworkServlet 'SpringServlet': initialization completed in 1406 ms
2018-08-07 16:03:12,307 INFO  (AbstractApplicationContext.java:993) - Closing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 15:58:53 CST 2018]; root of context hierarchy
2018-08-07 16:03:16,384 INFO  (FrameworkServlet.java:494) - FrameworkServlet 'SpringServlet': initialization started
2018-08-07 16:03:16,412 INFO  (AbstractApplicationContext.java:590) - Refreshing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:03:16 CST 2018]; root of context hierarchy
2018-08-07 16:03:16,443 INFO  (XmlBeanDefinitionReader.java:316) - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-08-07 16:03:16,953 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_admin_info/login],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_Admin_InfoController.login(javax.servlet.http.HttpSession,com.hang.bean.Tb_Admin_Info)
2018-08-07 16:03:16,955 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_item/findAll],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_ItemController.findAll()
2018-08-07 16:03:17,124 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:03:16 CST 2018]; root of context hierarchy
2018-08-07 16:03:17,168 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:03:16 CST 2018]; root of context hierarchy
2018-08-07 16:03:17,732 INFO  (AbstractUrlHandlerMapping.java:373) - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-08-07 16:03:17,791 INFO  (FrameworkServlet.java:509) - FrameworkServlet 'SpringServlet': initialization completed in 1394 ms
2018-08-07 16:07:50,709 INFO  (AbstractApplicationContext.java:993) - Closing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:03:16 CST 2018]; root of context hierarchy
2018-08-07 16:08:42,158 INFO  (FrameworkServlet.java:494) - FrameworkServlet 'SpringServlet': initialization started
2018-08-07 16:08:42,179 INFO  (AbstractApplicationContext.java:590) - Refreshing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:08:42 CST 2018]; root of context hierarchy
2018-08-07 16:08:42,204 INFO  (XmlBeanDefinitionReader.java:316) - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-08-07 16:08:42,829 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_admin_info/login],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_Admin_InfoController.login(javax.servlet.http.HttpSession,com.hang.bean.Tb_Admin_Info)
2018-08-07 16:08:42,832 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_item/findAll],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_ItemController.findAll()
2018-08-07 16:08:43,065 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:08:42 CST 2018]; root of context hierarchy
2018-08-07 16:08:43,119 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:08:42 CST 2018]; root of context hierarchy
2018-08-07 16:08:43,851 INFO  (AbstractUrlHandlerMapping.java:373) - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-08-07 16:08:43,913 INFO  (FrameworkServlet.java:509) - FrameworkServlet 'SpringServlet': initialization completed in 1748 ms
2018-08-07 16:08:50,084 DEBUG (BaseJdbcLogger.java:159) - ==>  Preparing: select * from tb_admin_info where admin_code = ? and password = ? 
2018-08-07 16:08:50,142 DEBUG (BaseJdbcLogger.java:159) - ==> Parameters: 1(String), e10adc3949ba59abbe56e057f20f883e(String)
2018-08-07 16:08:50,178 DEBUG (BaseJdbcLogger.java:159) - <==      Total: 1
2018-08-07 16:10:19,345 INFO  (AbstractApplicationContext.java:993) - Closing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:08:42 CST 2018]; root of context hierarchy
2018-08-07 16:10:28,268 INFO  (FrameworkServlet.java:494) - FrameworkServlet 'SpringServlet': initialization started
2018-08-07 16:10:28,288 INFO  (AbstractApplicationContext.java:590) - Refreshing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:10:28 CST 2018]; root of context hierarchy
2018-08-07 16:10:28,315 INFO  (XmlBeanDefinitionReader.java:316) - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-08-07 16:10:28,846 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_admin_info/login],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_Admin_InfoController.login(javax.servlet.http.HttpSession,com.hang.bean.Tb_Admin_Info)
2018-08-07 16:10:28,848 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_item/findAll],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_ItemController.findAll()
2018-08-07 16:10:29,012 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:10:28 CST 2018]; root of context hierarchy
2018-08-07 16:10:29,052 INFO  (RequestMappingHandlerAdapter.java:574) - Looking for @ControllerAdvice: WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:10:28 CST 2018]; root of context hierarchy
2018-08-07 16:10:29,516 INFO  (AbstractUrlHandlerMapping.java:373) - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
2018-08-07 16:10:29,567 INFO  (FrameworkServlet.java:509) - FrameworkServlet 'SpringServlet': initialization completed in 1293 ms
2018-08-07 16:15:34,090 INFO  (AbstractApplicationContext.java:993) - Closing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:10:28 CST 2018]; root of context hierarchy
2018-08-07 16:15:37,488 INFO  (FrameworkServlet.java:494) - FrameworkServlet 'SpringServlet': initialization started
2018-08-07 16:15:37,508 INFO  (AbstractApplicationContext.java:590) - Refreshing WebApplicationContext for namespace 'SpringServlet-servlet': startup date [Tue Aug 07 16:15:37 CST 2018]; root of context hierarchy
2018-08-07 16:15:37,535 INFO  (XmlBeanDefinitionReader.java:316) - Loading XML bean definitions from class path resource [applicationContext.xml]
2018-08-07 16:15:38,080 INFO  (AbstractHandlerMethodMapping.java:547) - Mapped "{[/tb_admin_info/login],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.hang.controller.Tb_Admin_InfoController.login(javax.servlet.http.HttpSession,com.hang.bean.Tb_Admin_Info)
